# 模拟位置文件格式说明（占位文件）
# 每行两列：X轴,Y轴（int16, -32768 ~ 32767）
# sample_interval_ms: 1
# 文件按 1ms 采样：共 1000 行 = 1 秒轨迹
# 加载后按实际发送间隔抽点（当前 USB 一发一收约 2ms，抽为 500 点，时长仍为 1 秒）
# 第 1 列 = 物理 X，第 2 列 = 物理 Y；可选表头行（X,Y）会被自动跳过
# 若文件本身已按 2ms 采样，请把 sample_interval_ms 改为 2
# 请将此文件替换为实际测试所得的轨迹数据

X,Y
40,-58
41,-61
35,-51
55,-80
61,-89
67,-97
94,-136
82,-119
104,-150
106,-153
107,-155
121,-175
104,-151
129,-186
125,-181
151,-218
155,-224
162,-233
187,-270
171,-247
169,-243
169,-243
153,-220
134,-193
136,-196
165,-238
154,-222
157,-226
140,-202
129,-186
166,-240
177,-255
185,-266
159,-229
183,-263
172,-247
167,-240
170,-246
187,-269
182,-262
173,-249
157,-226
148,-214
164,-236
176,-253
205,-296
223,-321
188,-272
161,-233
158,-228
148,-213
164,-237
156,-225
134,-194
158,-228
171,-247
158,-227
153,-221
130,-188
132,-190
123,-178
104,-151
110,-159
105,-152
81,-117
93,-135
83,-121
83,-121
112,-162
123,-177
110,-159
113,-163
112,-162
122,-177
151,-218
164,-237
177,-256
176,-253
163,-235
175,-253
192,-276
209,-300
201,-289
156,-225
146,-210
132,-191
132,-191
115,-166
142,-205
163,-235
162,-234
145,-209
151,-219
168,-242
182,-263
177,-255
193,-278
181,-261
184,-265
154,-222
148,-213
155,-224
153,-221
138,-200
160,-230
150,-216
162,-233
186,-267
201,-290
197,-283
184,-266
178,-257
189,-273
190,-274
174,-251
158,-227
153,-220
156,-225
154,-222
188,-271
165,-238
157,-227
145,-209
163,-235
152,-219
128,-185
143,-206
130,-188
175,-252
176,-254
156,-225
140,-202
108,-156
113,-164
131,-189
116,-168
117,-169
138,-199
160,-231
155,-223
148,-213
161,-233
167,-240
123,-178
126,-182
110,-160
119,-173
116,-167
145,-210
156,-224
167,-241
187,-270
165,-238
148,-213
142,-206
111,-161
95,-138
100,-144
93,-135
96,-139
87,-125
106,-153
110,-158
107,-155
123,-177
135,-195
131,-189
108,-157
94,-136
110,-159
113,-164
118,-171
141,-204
159,-229
195,-281
171,-246
157,-227
157,-226
167,-240
167,-241
143,-206
143,-206
145,-209
160,-231
157,-226
184,-265
189,-272
197,-283
196,-283
208,-300
226,-326
215,-309
196,-283
175,-252
155,-223
161,-232
165,-237
150,-217
137,-197
146,-210
172,-248
203,-292
202,-290
228,-328
262,-377
259,-372
234,-336
256,-369
264,-379
293,-421
270,-389
296,-426
291,-419
273,-392
269,-387
241,-347
239,-344
234,-336
208,-300
212,-305
204,-294
202,-291
195,-281
185,-266
202,-291
174,-250
170,-246
164,-237
156,-225
163,-235
151,-218
166,-240
178,-256
193,-277
178,-256
176,-253
173,-249
210,-303
221,-318
224,-322
232,-334
259,-372
263,-378
237,-342
239,-344
265,-382
274,-395
237,-341
215,-310
216,-312
234,-336
241,-346
227,-327
241,-346
205,-295
192,-277
207,-298
219,-315
238,-343
201,-290
195,-282
211,-304
219,-315
220,-317
204,-294
212,-305
193,-279
190,-274
206,-296
186,-268
184,-265
167,-241
149,-215
119,-172
139,-201
134,-193
121,-175
99,-143
89,-129
52,-76
35,-51
65,-94
73,-107
49,-72
26,-38
5,-9
-11,14
-25,35
-33,46
-59,83
-82,116
-73,104
-94,134
-91,129
-76,108
-96,136
-91,130
-101,143
-97,138
-52,73
-31,43
-15,20
-36,51
-29,41
-39,54
-39,55
-47,66
-40,56
-34,48
-14,19
-33,46
-23,32
-13,18
-19,26
-6,7
10,-16
-2,2
7,-11
10,-16
16,-25
21,-31
3,-6
-1,0
-7,9
-31,44
-48,68
-39,55
-46,64
-46,65
-50,71
-52,74
-35,49
-40,56
13,-20
-5,6
7,-12
44,-64
15,-22
-16,22
2,-4
39,-57
21,-31
30,-45
31,-45
32,-47
0,-2
-38,53
-34,48
-16,21
-18,24
-22,31
-14,19
7,-12
12,-18
17,-26
46,-67
24,-36
20,-30
17,-25
4,-7
-2,1
25,-37
31,-46
32,-48
22,-33
9,-15
-7,9
-24,33
-44,62
-53,75
-47,67
-34,47
-68,97
-64,90
-75,106
-74,105
-59,83
-81,116
-106,151
-153,218
-163,233
-173,247
-184,263
-189,270
-151,216
-134,191
-131,186
-122,173
-148,211
-151,216
-147,210
-137,195
-157,224
-153,218
-169,241
-190,271
-231,330
-250,358
-252,360
-218,312
